;;;;Viernes;15:40 - 16:40;;
EEF052;BASQUETBOL;3;Presencial;Lunes;16:50 - 17:50;Cancha 1 Gimnasio Olimpico;Fabián Higuera;
;;;;Miércoles;16:50 - 17:50;;
;;;;Viernes;16:50 - 17:50;;
EEF132;BASQUETBOL FEMENINO;1;Presencial;Lunes;08:30 - 10:40;Cancha 1 Gimnasio Olimpico;Romina Gavilán;
;;;;Miércoles;08:30 - 09:30;;
EEF132;BASQUETBOL FEMENINO;2;Presencial;Miércoles;09:40 - 10:40;Cancha 1 Gimnasio Olimpico;Romina Gavilán;
;;;;Viernes;08:30 - 10:40;;
EEF058;FUTBOL;1;Presencial;Lunes;08:30 - 10:40;Cancha Futbol 2;Claudio Muñoz;
;;;;Martes;09:40 - 10:40;;
EEF058;FUTBOL;2;Presencial;Lunes;10:50 - 11:50;Cancha Futbol 2;Claudio Muñoz;
;;;;Miércoles;08:30 - 10:40;;
EEF058;FUTBOL;3;Presencial;Martes;08:30 - 09:30;Cancha Futbol 2;Claudio Muñoz;
;;;;Jueves;09:40 - 11:50;;
EEF123;FUTBOL FEMENINO;1;Presencial;Lunes;12:00 - 13:00;Cancha Futbol 2;Sebastián Novoa;
;;;;Miércoles;10:50 - 13:00;;
EEF123;FUTBOL FEMENINO;2;Presencial;Jueves;12:00 - 13:00;Cancha Futbol 2;Sebastián Novoa;
;;;;Viernes;10:50 - 13:00;;
EEF057;VOLEIBOL;1;Presencial;Lunes;12:00 - 13:00;Cancha 1 Gimnasio Olimpico;Ingrid Fuentealba;
;;;;Martes;08:30 - 10:40;;
EEF057;VOLEIBOL;2;Presencial;Miércoles;12:00 - 13:00;Cancha 1 Gimnasio Olimpico;Ingrid Fuentealba;
;;;;Jueves;08:30 - 10:40;;
EEF129;VOLEIBOL FEMENINO;1;Presencial;Lunes;10:50 - 11:50;Cancha 1 Gimnasio Olimpico;Ingrid Fuentealba;
;;;;Martes;10:50 - 13:00;;
EEF129;VOLEIBOL FEMENINO;2;Presencial;Miércoles;10:50 - 11:50;Cancha 1 Gimnasio Olimpico;Ingrid Fuentealba;
;;;;Viernes;10:50 - 13:00;;
EEF072;ATLETISMO;1;Presencial;Miércoles;08:30 - 10:40;Sala Multipropósito;José Bruneau;
;;;;Viernes;09:40 - 10:40;;
